# dec/22/2023 10:56:55 by RouterOS 6.49
# software id = 
#
10:04:39 system,info router rebooted 
10:04:39 interface,info ether1 link up 
10:04:39 interface,info ether2 link up 
10:04:40 interface,info ether3 link up 
10:04:40 interface,info ether4 link up 
10:04:40 interface,info ether5 link up 
10:04:43 system,info,account user admin logged in from 192.168.122.1 via ssh 
10:04:45 system,info,account user admin logged out from 192.168.122.1 via ssh 
10:05:41 system,info,account user admin logged in from 192.168.122.1 via ssh 
10:05:46 system,info,account user admin logged out from 192.168.122.1 via ssh 
10:06:36 system,info,account user admin logged in from 52:54:00:9D:7E:1A via winbox 
10:06:38 system,info,account user admin logged in via local 
10:07:06 system,info,account user admin logged in from 192.168.122.1 via ssh 
10:07:11 system,info,account user admin logged out from 192.168.122.1 via ssh 
10:07:50 system,info,account user admin logged out from 52:54:00:9D:7E:1A via winbox 
10:07:50 system,info,account user admin logged out via local 
10:56:54 system,info,account user admin logged in from 192.168.122.1 via ssh 
